Rate_ID,Carrier,POL_Origin,POD_Destination,Container_Type,Ocean_Freight_USD,THC_USD,Seal_Fee_USD,Doc_Fee_USD,Total_Cost_USD,Valid_From,Valid_To,Transit_Time_Days
RTE-00001,COSCO,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3686,210,10,40,3946,2026-07-18,2026-08-02,33
RTE-00002,CMA CGM,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2123,140,10,40,2313,2026-07-02,2026-07-17,15
RTE-00003,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,2055,140,10,40,2245,2026-07-14,2026-07-29,18
RTE-00004,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3097,210,10,40,3357,2026-07-31,2026-08-15,21
RTE-00005,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1608,140,10,40,1798,2026-07-17,2026-08-01,12
RTE-00006,MSC,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2546,140,10,40,2736,2026-07-26,2026-08-10,33
RTE-00007,Maersk,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2164,140,10,40,2354,2026-07-29,2026-08-13,30
RTE-00008,Hapag-Lloyd,VNDNG (Da Nang),USLAX (Los Angeles),40HC,2528,210,10,40,2788,2026-07-08,2026-07-23,28
RTE-00009,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3057,210,10,40,3317,2026-07-17,2026-08-01,24
RTE-00010,Maersk,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,2135,140,10,40,2325,2026-07-19,2026-08-03,20
RTE-00011,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1776,140,10,40,1966,2026-07-22,2026-08-06,19
RTE-00012,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,553,210,10,40,813,2026-07-05,2026-07-20,27
RTE-00013,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3459,210,10,40,3719,2026-07-06,2026-07-21,20
RTE-00014,Evergreen,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3451,210,10,40,3711,2026-07-14,2026-07-29,15
RTE-00015,Hapag-Lloyd,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,3200,210,10,40,3460,2026-07-05,2026-07-20,35
RTE-00016,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3168,210,10,40,3428,2026-07-08,2026-07-23,15
RTE-00017,Maersk,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1816,140,10,40,2006,2026-07-16,2026-07-31,19
RTE-00018,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2751,140,10,40,2941,2026-07-28,2026-08-12,25
RTE-00019,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,2021,140,10,40,2211,2026-07-27,2026-08-11,13
RTE-00020,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,3058,210,10,40,3318,2026-07-22,2026-08-06,25
RTE-00021,MSC,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1972,140,10,40,2162,2026-07-24,2026-08-08,12
RTE-00022,Maersk,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,1887,140,10,40,2077,2026-07-26,2026-08-10,35
RTE-00023,Evergreen,VNDNG (Da Nang),USLGB (Long Beach),40HC,3428,210,10,40,3688,2026-07-17,2026-08-01,24
RTE-00024,Hapag-Lloyd,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3155,210,10,40,3415,2026-07-21,2026-08-05,29
RTE-00025,CMA CGM,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,3152,210,10,40,3412,2026-07-14,2026-07-29,22
RTE-00026,Hapag-Lloyd,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1574,140,10,40,1764,2026-07-02,2026-07-17,32
RTE-00027,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,3152,210,10,40,3412,2026-07-13,2026-07-28,18
RTE-00028,MSC,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1634,140,10,40,1824,2026-07-16,2026-07-31,17
RTE-00029,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3817,210,10,40,4077,2026-07-21,2026-08-05,35
RTE-00030,Evergreen,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1704,140,10,40,1894,2026-07-04,2026-07-19,16
RTE-00031,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,3189,210,10,40,3449,2026-07-02,2026-07-17,22
RTE-00032,ONE,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2595,210,10,40,2855,2026-07-23,2026-08-07,16
RTE-00033,Evergreen,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3735,210,10,40,3995,2026-07-08,2026-07-23,20
RTE-00034,ONE,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2527,210,10,40,2787,2026-07-25,2026-08-09,16
RTE-00035,Evergreen,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2532,210,10,40,2792,2026-07-11,2026-07-26,12
RTE-00036,ONE,VNDNG (Da Nang),USLAX (Los Angeles),20DC,1949,140,10,40,2139,2026-07-08,2026-07-23,13
RTE-00037,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),20DC,262,140,10,40,452,2026-07-22,2026-08-06,19
RTE-00038,COSCO,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2286,140,10,40,2476,2026-07-21,2026-08-05,12
RTE-00039,Evergreen,VNDNG (Da Nang),CNSHA (Shanghai),20DC,231,140,10,40,421,2026-07-30,2026-08-14,22
RTE-00040,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2868,210,10,40,3128,2026-07-18,2026-08-02,24
RTE-00041,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2089,140,10,40,2279,2026-07-26,2026-08-10,31
RTE-00042,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),40HC,770,210,10,40,1030,2026-07-07,2026-07-22,26
RTE-00043,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1715,140,10,40,1905,2026-07-07,2026-07-22,20
RTE-00044,CMA CGM,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1982,140,10,40,2172,2026-07-15,2026-07-30,18
RTE-00045,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2966,210,10,40,3226,2026-07-26,2026-08-10,14
RTE-00046,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3918,210,10,40,4178,2026-07-01,2026-07-16,35
RTE-00047,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3207,210,10,40,3467,2026-07-27,2026-08-11,29
RTE-00048,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),20DC,1916,140,10,40,2106,2026-07-21,2026-08-05,17
RTE-00049,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),20DC,212,140,10,40,402,2026-07-25,2026-08-09,30
RTE-00050,Evergreen,VNDNG (Da Nang),CNSHA (Shanghai),40HC,487,210,10,40,747,2026-07-03,2026-07-18,19
RTE-00051,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,3018,210,10,40,3278,2026-07-07,2026-07-22,25
RTE-00052,Hapag-Lloyd,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1729,140,10,40,1919,2026-07-04,2026-07-19,23
RTE-00053,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),40HC,435,210,10,40,695,2026-07-16,2026-07-31,17
RTE-00054,ONE,VNDNG (Da Nang),CNSHA (Shanghai),40HC,477,210,10,40,737,2026-07-01,2026-07-16,29
RTE-00055,Maersk,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3544,210,10,40,3804,2026-07-02,2026-07-17,33
RTE-00056,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,439,210,10,40,699,2026-07-19,2026-08-03,22
RTE-00057,MSC,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1748,140,10,40,1938,2026-07-13,2026-07-28,28
RTE-00058,CMA CGM,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1516,140,10,40,1706,2026-07-28,2026-08-12,21
RTE-00059,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2592,210,10,40,2852,2026-07-05,2026-07-20,27
RTE-00060,CMA CGM,VNDNG (Da Nang),USLGB (Long Beach),20DC,2499,140,10,40,2689,2026-07-25,2026-08-09,12
RTE-00061,Maersk,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1751,140,10,40,1941,2026-07-11,2026-07-26,33
RTE-00062,COSCO,VNDNG (Da Nang),USLGB (Long Beach),40HC,3189,210,10,40,3449,2026-07-10,2026-07-25,22
RTE-00063,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2096,140,10,40,2286,2026-07-13,2026-07-28,26
RTE-00064,Maersk,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2924,210,10,40,3184,2026-07-16,2026-07-31,25
RTE-00065,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,3000,210,10,40,3260,2026-07-05,2026-07-20,28
RTE-00066,Evergreen,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,474,140,10,40,664,2026-07-14,2026-07-29,26
RTE-00067,ONE,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3268,210,10,40,3528,2026-07-28,2026-08-12,12
RTE-00068,Maersk,VNDNG (Da Nang),USLGB (Long Beach),20DC,1914,140,10,40,2104,2026-07-15,2026-07-30,19
RTE-00069,Maersk,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1842,140,10,40,2032,2026-07-20,2026-08-04,24
RTE-00070,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),20DC,257,140,10,40,447,2026-07-29,2026-08-13,15
